Time period,Electricity - Total consumption (kWh),Distribution - Basic charge (euro),Distribution - Electricity tax (euro),Distribution - VAT (euro),Distribution fee (euro),Spot price (c/kWh),Temperature (°C),Total (euro)
01.01.2023,1.76,0.24,0.04,0.08,0.06,1.87,0.4,0.42
02.01.2023,1.46,0.24,0.03,0.08,0.05,13.18,-2.9,0.4
03.01.2023,1.69,0.24,0.04,0.08,0.06,14.71,-2.69,0.42
04.01.2023,1.68,0.24,0.04,0.08,0.06,11.28,-6.42,0.42
05.01.2023,3.89,0.24,0.09,0.11,0.13,11.87,-8.69,0.57
06.01.2023,2.39,0.24,0.05,0.09,0.08,12.55,-8.78,0.46
07.01.2023,1.87,0.24,0.04,0.08,0.06,8.3,-8.64,0.42
08.01.2023,1.49,0.24,0.03,0.08,0.05,4.2,-6.11,0.4
09.01.2023,1.63,0.24,0.04,0.08,0.05,8.25,-5.42,0.41
10.01.2023,1.49,0.24,0.03,0.08,0.05,12.59,-4.48,0.4
11.01.2023,1.49,0.24,0.03,0.08,0.05,7.19,0.53,0.4
12.01.2023,2.38,0.24,0.05,0.09,0.08,5.83,3.36,0.46
13.01.2023,1.5,0.24,0.03,0.08,0.05,7.4,1.9,0.4
14.01.2023,1.49,0.24,0.03,0.08,0.05,7.25,0.07,0.4
15.01.2023,1.49,0.24,0.03,0.08,0.05,2.01,1.13,0.4
16.01.2023,1.54,0.24,0.03,0.08,0.05,7.7,1.1,0.4
17.01.2023,1.67,0.24,0.04,0.08,0.06,6.84,0.2,0.42
18.01.2023,1.48,0.24,0.03,0.08,0.05,8.72,0.67,0.4
19.01.2023,1.52,0.24,0.03,0.08,0.05,14.91,-0.82,0.4
20.01.2023,1.49,0.24,0.03,0.08,0.05,13.2,-0.04,0.4
21.01.2023,1.45,0.24,0.03,0.08,0.05,12.89,-1.39,0.4
22.01.2023,1.49,0.24,0.03,0.08,0.05,7.53,-1.7,0.4
23.01.2023,1.65,0.24,0.04,0.08,0.05,9,-1.26,0.41
24.01.2023,2.73,0.24,0.06,0.09,0.09,12.74,-0.06,0.48
25.01.2023,1.51,0.24,0.03,0.08,0.05,2.63,3.7,0.4
26.01.2023,1.76,0.24,0.04,0.08,0.06,10.76,0.26,0.42
27.01.2023,4.24,0.24,0.1,0.11,0.14,12.5,-2.41,0.59
28.01.2023,2.62,0.24,0.06,0.09,0.09,3.54,0.55,0.48
29.01.2023,2.05,0.24,0.05,0.09,0.07,3.39,1.02,0.45
30.01.2023,6.35,0.24,0.14,0.14,0.21,4.91,0.22,0.73
31.01.2023,2.87,0.24,0.06,0.1,0.09,8.54,-4.46,0.49
